3,13,14,16,22,28
1,8,15,22,31,36
4,13,32,34,35,36
4,19,21,23,24,29
6,8,9,16,17,34
6,15,17,22,26,34
2,3,15,22,23,31
9,13,22,24,26,27
3,7,11,16,24,30
3,14,17,18,24,33
2,7,9,20,24,26
4,23,24,25,27,33
1,18,19,20,27,30
8,12,14,22,25,34
1,4,8,14,22,25
6,15,17,18,28,32
2,7,19,23,28,32
13,14,19,25,32,33
8,23,24,29,30,31
2,8,12,13,25,34
8,13,14,18,25,31
3,4,15,17,21,23
17,19,27,29,34,35
8,14,19,21,23,34
7,14,16,27,30,34
2,16,25,29,33,36
7,14,16,19,26,29
6,7,14,15,17,29
3,9,13,15,29,35
4,8,11,14,23,24
1,10,12,18,20,21
5,6,9,11,25,30
3,5,9,12,13,15
6,10,20,27,30,36
1,3,6,15,25,26
3,7,25,28,31,35
3,13,15,26,27,33
5,22,25,28,29,34
1,5,7,20,21,35
4,6,9,16,23,30
8,14,16,26,35,36
10,11,12,16,20,34
12,14,15,25,32,36
9,14,16,20,32,34
5,8,14,25,26,35
12,15,20,23,30,35
8,19,25,28,31,34
6,7,13,15,16,28
8,16,19,29,34,35
3,6,14,17,18,22
